error: uncaughtException: Oops!
error: uncaughtException: Oops!
error: uncaughtException: Oops!
error: uncaughtException: Oops!
error: uncaughtException: Oops!
error: unhandledRejection at Promise with reason: Oops!
error: GET:http://localhost:4000/boards/6156b1c1-633d-456e-8cf0-3d0c3cd7cb43/tasks/feac8858-e0a3-4936-b2f1-9b9209c03e74 404 message:Task with id: feac8858-e0a3-4936-b2f1-9b9209c03e74 not found
error: GET:http://localhost:4000/boards/bf1b22fd-41a0-40e6-ba33-6204019d34c4 404 message:Board with id: bf1b22fd-41a0-40e6-ba33-6204019d34c4 not found
error: GET:http://localhost:4000/boards/0eae6c47-747e-412d-8dc0-bf7101a26729/tasks/50fa5ffe-35fc-403d-a1a0-d522470aa9f1 404 message:Task with id: 50fa5ffe-35fc-403d-a1a0-d522470aa9f1 not found
error: GET:http://localhost:4000/boards/0eae6c47-747e-412d-8dc0-bf7101a26729/tasks/3e4cc05d-b190-4302-a245-c5bdef44846a 404 message:Task with id: 3e4cc05d-b190-4302-a245-c5bdef44846a not found
error: GET:http://localhost:4000/boards/0eae6c47-747e-412d-8dc0-bf7101a26729/tasks/825cd78e-4243-4d11-92b2-34336fc499ec 404 message:Task with id: 825cd78e-4243-4d11-92b2-34336fc499ec not found
error: GET:http://localhost:4000/boards/0eae6c47-747e-412d-8dc0-bf7101a26729/tasks/c75f5705-18b8-4e20-812b-fd39136235bc 404 message:Task with id: c75f5705-18b8-4e20-812b-fd39136235bc not found
error: GET:http://localhost:4000/boards/0eae6c47-747e-412d-8dc0-bf7101a26729/tasks/ba8d6c8d-5eca-4c39-add6-03cb59338089 404 message:Task with id: ba8d6c8d-5eca-4c39-add6-03cb59338089 not found
GET:http://localhost:4000/users/2a75e554-793a-44af-a525-45522b007023 404 body:{} params:{"userId":"2a75e554-793a-44af-a525-45522b007023"} query:{} 
GET:http://localhost:4000/users/2a75e554-793a-44af-a525-45522b007025 404 body:{} params:{"userId":"2a75e554-793a-44af-a525-45522b007025"} query:{} 
GET:http://localhost:4000/users/2a75e554-793a-44af-a525-45522b007025 404 body:{} params:{"userId":"2a75e554-793a-44af-a525-45522b007025"} query:{} 
GET:http://localhost:4000/doc/static/swagger-ui.css 404 body:{} params:{} query:{} 
GET:http://localhost:4000/doc/static/swagger-ui-bundle.js.map 404 body:{} params:{} query:{} 
GET:http://localhost:4000/doc/static/swagger-ui-standalone-preset.js.map 404 body:{} params:{} query:{} 
GET:http://localhost:4000/doc/static/index.html 404 body:{} params:{} query:{} 
GET:http://localhost:4000/favicon.ico 404 body:{} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
PUT:http://localhost:4000/login 404 body:{"login":"admin","password":"admin"} params:{} query:{} 
